"","gene_name","hi_mean","lo_mean","FC","hi_SD","lo_SD","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"32","PLIN4",1.1312643429547,5.25446595712529,0.21529577928289,2.29010367096569,50.5643679617951,-4.12320161417058,-1.43268550472383,0.152959867347279,308.619913401655,-9.78609345663781,1.53969022829664,"Welch Two Sample t-test","two.sided"
"33","PLS3",1.01920317538466,4.71569814830336,0.216129858895093,0.912815652354704,43.2544189541834,-3.6964949729187,-1.50207441821708,0.134101967585845,308.13456373402,-8.53884217701152,1.14585223117412,"Welch Two Sample t-test","two.sided"
"34","NKG7",0.450140133533563,2.07983653050473,0.216430535251886,2.50855179622225,17.0536074177611,-1.62969639697117,-1.67100318807836,0.0957156100642341,314.554850837432,-3.54859370015467,0.28920090621234,"Welch Two Sample t-test","two.sided"
"35","EPHA4",0.763348063304951,3.47516837347503,0.219657864387628,0.162229690908337,31.0367443228725,-2.71182031017008,-1.53589342173159,0.125591092419015,308.008254836798,-6.18604407461315,0.762403454272998,"Welch Two Sample t-test","two.sided"
"36","TMEM204",2.2691479518345,10.3115951822474,0.22005789712741,10.4398507300795,49.0121020555483,-8.04244723041291,-2.85288858228527,0.0046128591651113,321.782702244853,-13.5885516289335,-2.49634283189229,"Welch Two Sample t-test","two.sided"
"37","ADAM22",0.930511324300579,4.20458597435392,0.221308668671845,0.511896085165432,39.9342445139058,-3.27407465005334,-1.44113559358922,0.150562083388172,308.049645540414,-7.74442396400744,1.19627466390075,"Welch Two Sample t-test","two.sided"
"38","IPW",1.52333709160921,6.87335993798894,0.221629174865374,9.79518356349597,48.8698866554257,-5.35002284637973,-1.90570829737044,0.0575834412197984,320.196541196966,-10.8732380444073,0.173192351647878,"Welch Two Sample t-test","two.sided"
"39","PAX6",1.63327637698334,7.32937019171499,0.22283993498235,8.58750877874198,74.069475072557,-5.69609381473165,-1.34738027086465,0.178835243193223,312.067946607681,-14.0141647995281,2.62197717006484,"Welch Two Sample t-test","two.sided"
"40","SORBS3",0.741193964994203,3.31263434681154,0.223747594028183,1.51349560949461,19.032600295071,-2.57144038181733,-2.37129242309203,0.0183370955064737,309.912080831238,-4.70516702581644,-0.437713737818223,"Welch Two Sample t-test","two.sided"
"41","THEMIS",0.412516115360833,1.82472226441292,0.226070631901647,2.75122702375028,8.83884584752457,-1.41220614905209,-2.74410384909118,0.00639193068788934,337.594761272825,-2.42449721160372,-0.399915086500455,"Welch Two Sample t-test","two.sided"
"42","ZNF781",1.10939478983347,4.84140501198442,0.229147279991505,2.62817538742884,41.419642958505,-3.73201022215095,-1.58229451638515,0.114604600157292,309.217061660295,-8.37295886591822,0.908938421616325,"Welch Two Sample t-test","two.sided"
"43","TCEA2",2.5741389150679,11.1538876804319,0.230784009021706,15.674152876384,72.3991478221882,-8.57974876536404,-2.05960949112905,0.0402388212590663,322.240579189376,-16.7751833489017,-0.384314181826392,"Welch Two Sample t-test","two.sided"
"44","SLC2A6",1.48689485430117,6.41656708849612,0.231727469501088,8.74358194774587,41.8274316727049,-4.92967223419496,-2.0498931985896,0.0411862837599511,321.271682229752,-9.66090210721904,-0.198442361170874,"Welch Two Sample t-test","two.sided"
"45","SEMA4B",2.12286540388416,9.15495851724627,0.231881488035698,11.8793174735672,48.0035301494093,-7.03209311336211,-2.53725602584399,0.0116372477736383,326.636286028819,-12.4844037363287,-1.57978249039554,"Welch Two Sample t-test","two.sided"
"46","ABCA1",2.38826075687934,10.2584466913694,0.232809198968555,13.8876312724983,67.1123868823223,-7.87018593449007,-2.04008454664941,0.0421600786240812,321.00400277153,-15.4599003573855,-0.280471511594637,"Welch Two Sample t-test","two.sided"
"47","CLECL1",0.806855837344002,3.42685858836799,0.235450578580268,0.247788104755464,28.1093785874912,-2.62000275102398,-1.63840576041576,0.102358098639622,308.023478010024,-5.76657823297384,0.526572730925871,"Welch Two Sample t-test","two.sided"
"48","SLC27A3",3.17209186368843,13.4121276912423,0.236509220364768,17.1889913349513,65.720724268682,-10.2400358275539,-2.69409111864117,0.00742032049236414,328.833282681611,-17.7172302865197,-2.76284136858806,"Welch Two Sample t-test","two.sided"
